content;label
Exclusive: Trump’s  # DOJ  has cut thousands of  # LawEnforcement   # jobs  while vowing to get tough on  # crime   The  # Trump  admin has cut more than 4,000 employees from some of the nation’s top law-enforcement agencies, even as it vowed to crack down on crime, according to ​records obtained by Reuters. # FactCheck   # TrumpLies   # law   # NationalSecurity   https://www. reuters.com/world/trumps-doj-h as-cut-thousands-law-enforcement-jobs-while-vowing-get-tough-crime-2026-04-23/?utm_source=braze&utm_medium=notifications&utm_campaign=2025_engagement;1
"FACT CHECK: Marcos is alive; no evidence of a body double exists 
 https:// fed.brid.gy/r/https://www.rapp ler.com/newsbreak/fact-check/ferdinand-marcos-jr-alive-no-body-double-evidence/";1
显然，在分享社交媒体截图时附上链接应该成为新的网络礼仪。 https:// x.com/williamlab/status/204690 3545614791044 @ board   @ worldboard   # ai   # llms   # gptimage2   # 谣言   # 新闻   # 事实核查   # rumors   # news   # factcheck   # anthropic   # claude   # openai;
“ THE CLAIM: “The measles outbreak is not an American phenomenon. It is global. It’s happening all over the world. And we’ve done better under my leadership than any country in the world in limiting it. THE FACTS: The U.S. is getting worse, not better, at protecting people against the spread of measles, because vaccination rates have been falling. “  https:// apnews.com/article/measles-vac cine-outbreak-mmr-rfk-canada-mexico-bed6d69b668b9d8548ad65dab1a4fd9c   # factcheck;0
"Somehow we've arrived at a world where 98.33% equals 600%. Fascinating stuff.
 #Math   #FactCheck   #USPol RE:  https://bsky.app/profile/did:plc:4llrhdclvdlmmynkwsmg5tdc/post/3mk3tcbc4ek26";
"Why Allure Will Never Tell You Plastic Packaging Is “Recyclable” 
 https:// fed.brid.gy/r/https://www.allu re.com/story/allure-sustainability-pledge";1
有人用 GPT Image 2 生成了一张假的 Anthropic 的推文截图，声称“Claude 正式向中国用户开放”。然后真的有人信了。 看来人类文明这次凶多吉少了.jpg # ai   # llms   # gptimage2   # 谣言   # 新闻   # 事实核查   # rumors   # news   # factcheck   # anthropic   # claude   # openai;
Original GrapheneOS responses to WIRED fact checker https:// discuss.grapheneos.org/d/34369 -original-grapheneos-responses-to-wired-fact-checker # HackerNews   # GrapheneOS   # WIRED   # factcheck   # privacy   # security;1
Video sobre Trump anunciando que no deportara a inmigrantes indocumentados es falso: tampoco existe una ley | vía  # FastCheckCL https://www. fastcheck.cl/2026/04/20/video- sobre-trump-anunciando-que-no-deportara-a-inmigrantes-indocumentados-es-falso-tampoco-existe-una-ley/ # chequeado   # chequeo   # donaldtrump   # eeuu   # estadosunidos   # factcheck   # falso   # inmigrantes   # migración   # verificación;1
"> Why “U.S. Insolvency” Wasn’t News  https://www. independent.org/article/2026/0 4/17/greatly-exaggerated-rumors-of-the-u-s-government-insolvency/ In the  # BadEconomy . Do all the  # FactCheck  you want to say the  # USGovernment  is not insolvent. Only reason it is not is that, unlike you and me, it can ""cheat:"" raise taxes, issue new debt, levies, etc.  But I can sense the  # CosmicJoker  grinning as reckoning day will come in time. Blessed be the  # DivineHumor .  # FollowTheMoney";0
@ alx   @ TheBreadmonkey  OK. The anger needs to be at the rapists. But also, misinformation is a fascist project. There are no '62 million men' in this story. Anywhere at all. CNN reported about a gross adult/anything video website. It had 62m *views* in a month. Some of those videos were clearly of men abusing sleeping women.  The journalist saw a comment from a user linking to 'zzz', a Telegram channel (men teaching other men how to enact this abuse and share it), which had *one thousand* subscribers. All of them, scum.  That should be the headline. Not some made up inflated rubbish about millions. Not because these criminals aren't awful, but: A) 1,000 is an approachable number to seek out perps and try for justice.  B) terrifying millions of women that their spouse is in on this helps nobody. 1/ the report (poor journalism citing the 62m views, it was clearly going to be distorted)  https:// edition.cnn.com/interactive/20 26/03/world/expose-rape-assault-online-vis-intl/ 2/ unpicking fact from fiction  https://www. snopes.com/fact-check/cnn-onli ne-rape-academy/  - which is important, truth matters. Without it we can't hope to address problems like this.  # sexualAssault   # telegram   # CNN   # factCheck   # MVAWG;
"Fake Claim about Pakistan Army General Hassan Khattak’s detention debunked 
 https:// fed.brid.gy/r/https://en.daily pakistan.com.pk/18-Apr-2026/fake-claim-about-pakistan-army-general-hassan-khattaks-detention-debunked";1
"# Iran  declares  # Hormuz  ‘completely open’ ""“  # Israel  will not be bombing  # Lebanon  any longer. They are  # PROHIBITED  from doing so by the  # USA . Enough is enough!!!”  # tRump  said, in another  # socialmedia  post."" 👆 And out of the blue, the  # orangeturd  blurts out something of substance that's true and welcoming - which surprises many of us, and sends our  # factcheck  pros into overdrive.😂 # JailNetanyahu   # StopIDF   https://www. bangkokpost.com/world/3238839/ iran-declares-hormuz-completely-open";1
Video shows ships turning away from the  # StraitOfHormuz  as confusion persists over whether sea lane is really open # FactCheck   # TrumpLies   # TrumpsWar   # IranWar   # US   # Iran   # Israel   # war   # ForeverWars   # Trump   # Netanyahu   # WarCrimes   # RegimeChange   # RulesOfWar   # law   # Congress   # WarPowers   # geopolitics   # NationalSecurity   # MiddleEast   # inflation   # economy   # affordability   # CostOfLiving   # oil   # energy   # EnergyCrisis   https://www. cnbc.com/2026/04/17/iran-trump -strait-hormuz-oil-tanker-traffic.html;1
Pete Hegseth quoting wording that sounded like Pulp Fiction’s fake Ezekiel 25:17 is the kind of story that was always going to go nuclear online. # PeteHegseth   # PulpFiction   # FactCheck   # Politics   # news   # usa;1
Fact check: Old video does not show U.S. naval blockade of Iran This video has been posted online with false claims that it shows the U.S. naval blockade of Iran. In fact, it's an old video — posted as early as May 2022. https://www. cbc.ca/player/play/9.7168539?c mp=rss;1
Если гипотеза внезапно подтвердится — последствия будут системными: 1. Кибербезопасность обнулится как класс Если модель уровня Anthropic действительно массово находит уязвимости, то: классический bug bounty и аудит теряют смысл окно между “найдено” и “эксплуатируется” сокращается почти до нуля zero-day станет нормой, а не исключением 2. Банковский сектор станет первичной целью Такие игроки как JPMorgan Chase, Bank of America, Citigroup: вынуждены будут изолировать критические системы (air gap / legacy freeze) резко увеличат CAPEX на defensive AI начнут переход к “закрытым” архитектурам без внешних зависимостей 3. Гонка AI vs AI Microsoft, Apple, Amazon: развернут defensive LLM’ы для автоматического патчинга появятся системы, где код пишется и сразу же проверяется ИИ DevSecOps станет полностью автоматизированным циклом 4. Государственный уровень (кибервойна) спецслужбы получат инструмент для массового вскрытия инфраструктуры критическая инфраструктура (энергетика, связь) станет уязвимой в кратчайшие сроки появится давление на регулирование и контроль моделей 5. Конец “доверенного софта” любая система без постоянного AI-аудита считается потенциально скомпрометированной open-source проекты под риском, если не внедрят автоматическую проверку software supply chain станет главной точкой атаки --- Вывод: Если это реально — это не “ещё один ИИ-релиз”, а сдвиг уровня ядерного оружия, только в киберпространстве. Но именно поэтому такие вещи почти невозможно скрыть — и пока нет подтверждений, к этому стоит относиться как к сценарию, а не факту.Фраза про «неповоротливую банковскую систему» — это не техническое утверждение, а типичный журналистско-аналитический ярлык, который упрощает реальность. Если разложить по сути, банки выглядят “медленными” по сравнению с IT не потому, что они не умеют, а потому что у них другая оптимизационная функция. 1. Жёсткое регулирование как основной ограничитель Крупные банки (например JPMorgan Chase, Bank of America, Citigroup) работают в среде: Basel III/IV капиталовые требования AML/KYC обязательства аудит регуляторов (Fed, OCC, ECB и т.д.) Любое изменение: должно быть документировано верифицировано и часто одобрено внешним надзором Это автоматически убивает “движение быстро и ломай вещи”. --- 2. Legacy-инфраструктура Банки исторически построены на: COBOL/мейнфреймах десятках интеграционных слоёв системах, которым 20–40 лет Это не “плохой код”, а: критически стабильные системы расчётов где ошибка = прямые финансовые потери или системный сбой Любая миграция = риск каскадного отказа. --- 3. Стоимость ошибки несопоставима с IT-стартапами У банка: ошибка в проде = деньги клиентов / системный риск / судебные иски У IT-компании: ошибка = откат релиза Поэтому у банков: длинные циклы внедрения много уровней проверки консервативный риск-менеджмент --- 4. Архитектура “согласованности важнее скорости” Банковские системы оптимизированы под: консистентность (ACID) трассируемость транзакций аудит А не под: быстрые эксперименты частые архитектурные сломы --- 5. Но важно: это уже меняется Называть банки просто “неповоротливыми” сейчас — упрощение. Фактически происходит: активная миграция в cloud (Microsoft Azure, AWS и др.) внедрение AI для fraud detection DevSecOps и continuous compliance --- Итог “Неповоротливость” = не про интеллект или ресурсы. Это про инженерный выбор между скоростью и стоимостью системного риска. Если хочешь, могу разложить, где именно ИИ реально уже ломает этот баланс (fraud, AML, code security) — там интереснее, чем в мемной версии про “старые банки”. # Anthropic   # ClaudeAI   # FakeNews   # Disinformation   # FactCheck   # CyberSecurity   # AIThreats   # BankingSystem   # ScottBessent   # JamieDimon   # OSINT   # InfoWar   # TechNews   # AIReality   # CyberRisk   # Debunked;
Taco Trump is already caving to Pope Leo... # Pope   # Politics   # Iran   # altleft   Watch the full video:  https://www. youtube.com/watch?v=3yXcdXmHS90 # Trump   # BreakingNews   # Nuclear   # MAGA   # FactCheck April 17, 2026 at 10:18AM via Instagram  https:// instagr.am/p/DXPM5QmD0Zy/;1
"FACT CHECK: No House coup to replace Speaker Bojie Dy with Arroyo 
 https:// fed.brid.gy/r/https://www.rapp ler.com/newsbreak/fact-check/no-house-coup-replacing-speaker-bojie-dy-arroyo/";1
Een 22 jaar oude  # Renault  Modus bestaat niet. Het model werd pas vanaf augustus 2004 verkocht. Toch beweren verschillende gebruikers van  # socialmedia  met precies dezelfde woorden dat ze er “gisteren” nog “300 kilometer over de snelweg” mee hebben gereden en dat zo'n oude  # diesel  “bijzonder milieuvriendelijk” is. Waarom de bewering over de milieuvriendelijkheid van oude dieselauto's niet klopt, legt deze  # factcheck  uit: https:// dpa-factchecking.com/netherlan ds/260416-99-141565/ # auto   # milieu;1
Please be careful to check sources for reliability when posting. # factcheck;
# lebanon   # factcheck https://www. newsweek.com/fact-check-is-app le-erasing-lebanese-towns-from-maps-app-11820993;1
⛽️ Everyone has an opinion about gas prices… but very few people actually understand what sets them. The answer isn’t what most people think 👀 👉🏿  https:// tinyurl.com/5n7bcern # Alaska   # GasPrices   # FuelCosts   # OilPrices   # EnergyMarkets   # CostOfLiving   # FactCheck   # GlobalMarkets   # MatSu   # Trump   # Politics;1
https://www. instagram.com/reel/DVzBvLWDpPV /?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ== # FactCheck   # BreakingNews   # Geopolitics   # dod   # trump   # cmdrbonespurs   # trumpsteinclass   # israel   # netanyahu   # zionism   # war   # warcrimes   # gaza   # iran   # lebanon   # freepalestine   # bloodmoney   # warcriminal;
https://www. instagram.com/p/DXCfq3FjEoD/?u tm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ== # nato   # FactCheck   # BreakingNews   # Geopolitics   # dod   # trump   # cmdrbonespurs   # trumpsteinclass   # israel   # netanyahu   # zionism   # war   # warcrimes   # gaza   # iran   # lebanon   # freepalestine   # bloodmoney   # warcriminal;
observerdiplomatmag: International Criminal Court has issued a second arrest warrant for Benjamin Netanyahu. # netanyahu   # FactCheck   # BreakingNews   # Geopolitics   # dod   # trump   # cmdrbonespurs   # trumpsteinclass   # israel   # netanyahu   # zionism   # war   # warcrimes   # gaza   # iran   # lebanon   # freepalestine   # bloodmoney   # warcriminal   https://www. instagram.com/reel/DXCILp-itlK /?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==;0
"FACT CHECK: Romualdez not convicted by Supreme Court over budget controversy 
 https:// fed.brid.gy/r/https://www.rapp ler.com/newsbreak/fact-check/supreme-court-no-conviction-martin-romualdez-budget/";0
"FACT CHECK: No court ruling ordering De Lima back to prison 
 https:// fed.brid.gy/r/https://www.rapp ler.com/newsbreak/fact-check/no-supreme-court-order-leila-de-lima-back-prison/";1
🎬 Video Fact-Check Can 3-5 Reps Truly Maximize Growth? (New Study) by House of Hypertrophy The video argues that very low rep ranges can maximize muscle growth. I reviewed the claims and the discussed research. # ScienceLiteracy   # FactCheck   # Fitness https:// s.fitbodyscience.com/fpf5kA;0
🎬 Video Fact-Check The Anti-Aging Supplement Scam (New Evidence) by Dr Brad Stanfield This video examines common anti-aging supplement claims and presents an analysis of the evidence discussed in the video. # ScienceLiteracy   # FactCheck   # Health https:// s.fitbodyscience.com/Mwchvb;1
Fact check: Deepfake Mark Carney promoting crypto scheme No, Prime Minister Mark Carney is not promoting a get-rich-quick crypto scheme. But YouTube ads like this one are trying to scam you — and they use fake CBC articles to do it. https://www. cbc.ca/player/play/9.7159767?c mp=rss;1
A viral BTS concert clip from the ARIRANG world tour has sparked a heated online debate over alleged lip-syncing—but fans insist it was just a livestream delay and editing glitch, not the real performance.  https:// english.mathrubhumi.com/movies -music/news/bts-arirang-tour-2026-lip-sync-controversy-video-ipaioefa?utm_source=dlvr.it&utm_medium=mastodon   # FactCheck   # BTS   # Jin   # LipSync   # Hybe;1
"FACT CHECK: Quote card of CDO congressman Suan criticizing OFWs is fake 
 https:// fed.brid.gy/r/https://www.rapp ler.com/newsbreak/fact-check/quote-card-cagayan-de-oro-lordan-suan-ofw-fake/";0
"FACT CHECK: Post claiming Marcos has stage 4 colon cancer is fake 
 https:// fed.brid.gy/r/https://www.rapp ler.com/newsbreak/fact-check/ferdinand-marcos-stage-4-colon-cancer-fake/";0
Fact check: Orbán points to Ukraine over a pipeline bomb. Hungary’s Viktor Orbán strongly suggests explosives found near a key gas pipeline in Serbia are evidence of Ukrainian sabotage. Serbia’s intelligence chief publicly disagrees. https:// mediafaro.org/article/20260409 -fact-check-orban-points-to-ukraine-over-a-pipeline-bomb?mf_channel=mastodon&action=forward # Hungary   # Orban   # Ukraine   # Serbia   # Vucic   # FactCheck   # Politics   # TurkStream;0
"# factCheck   Claim by Don Trump: Environmental rules reduced cattle numbers and he “got rid of that.” FactCheck.org rating: False @ mediabiasfactcheck  rating: Blatant lie The cited policy refers to the  # greenNewDeal , which never passed — and it imposed no cattle restrictions. Trump Fumbles the Facts with  # Farmers https://www. factcheck.org/2026/04/trump-fu mbles-the-facts-with-farmers/ > In a speech to what he called ""the single largest gathering of American farmers that the White House has... ever had,"" Don Trump lied about the  # estateTax , soybean  # exports  and much more. Also said beef prices are “starting to come down.” FactCheck.org rating: False @ mediabiasfactcheck  rating: Blatant lie Price data shows beef prices remain high or increasing, with no meaningful downward trend. # farmingNews   # farms   # agricultureNews   # intergenerationalWealth   # farmFutures   # tradeNews";0
"FACT CHECK: News graphic claiming ICC will release Duterte is fake 
 https:// fed.brid.gy/r/https://www.rapp ler.com/newsbreak/fact-check/fake-graphic-claiming-icc-will-release-duterte/";1
"FACT CHECK: No new arrest warrant issued for Trillanes 
 https:// fed.brid.gy/r/https://www.rapp ler.com/newsbreak/fact-check/no-new-arrest-warrant-issued-against-trillanes/";1
Contrary to rumors caused by a misleading CNN post on social media, Michael J. Fox is still alive.  # CelebrityMews   # Celebrities   # Shrinking   # MichaelJFox   # BackToTheFuture   # RIP   # MartyMcFly   # FactChecking   # FactCheck   # Hollywood   # HollywoodNews   Michael J. Fox Is Alive, Despite Concern After CNN's 'Remembering' Post  https:// share.google/vsiW5AdVA8DU2TJEQ;1
"No, Bill Gates Did Not Create the Tick That Made Steak Dangerous 

A sharp macro image of the tick most often linked to alpha-gal syndrome in the United States. Photo credit: NIAID via Wikimedia Commons, CC BY 2.0. Dear Cherubs, a meat allergy caused by tick bites is real, and it is every bit as inconvenient as it sounds. The condition is called alpha-gal syndrome, or AGS, and the CDC says it can cause reactions after people eat red meat or other mammal-derived products. The CDC also says the true number of U.S. cases is unknown, but as many as 450,000 people may be affected. That estimate comes from surveillance data showing more than 110,000 suspected cases identified between 2010 and 2022, with many more likely missed because AGS is underdiagnosed. THE ACTUAL DIAGNOSIS Here is the weird part: the body is not reacting to steak itself so much as to alpha-gal, a sugar found in most mammals and in the saliva of some ticks. When a tick bite transfers that sugar into the bloodstream, the immune system can later overreact after a meal, which is science’s way of reminding everyone that bodies are dramatic. In the United States, the lone star tick is the main villain in this story. The CDC and Mayo Clinic both say AGS most often begins after a lone star tick bite, though other tick species have been linked to the syndrome in other parts of the world. Symptoms can show up hours after eating, which is part of what makes AGS so confusing. The CDC says reactions can be mild to severe, including anaphylaxis, and that prevention centers on avoiding tick bites rather than waiting for a miracle cure to drop from the sky. WHERE THE RUMOR LOST THE PLOT The Bill Gates claim is doing what internet rumors do best: dressing up a real medical condition in a conspiracy costume. AP fact-checkers reported that there is no evidence linking Bill Gates or the Gates Foundation to engineered ticks or to the rise of alpha-gal syndrome. That matters, because the real problem is already interesting without the fan fiction. People with AGS may have to avoid beef, pork, lamb, dairy, gelatin, and even some medical products, which is not exactly the kind of menu planning anyone asks for. According to thisclaimer.com, the internet has a special talent for adding dramatic garnish to anything involving science and fear. The smarter move is boring, adult, and effective: trust the evidence, not the caption bait. Sources list: CDC —  https://www.cdc.gov/alpha-gal-syndrome/about/index.html CDC MMWR —  https://www.cdc.gov/mmwr/volumes/72/wr/mm7230a2.htm AP News —  https://apnews.com/article/fact-check-ticks-meat-allergy-gates-foundation-oxitec-660925786138 Mayo Clinic —  https://www.mayoclinic.org/diseases-conditions/alpha-gal-syndrome/symptoms-causes/syc-20428608 Wikimedia Commons (NIAID photo) —  https://commons.wikimedia.org/wiki/File:Female_Lone_Star_Tick_(37507787652).jpg thisclaimer.com —  https://thisclaimer.com The Thisclaimer logo blends a classic warning symbol with a brain icon to represent critical thinking, curiosity, and thoughtful disclaimers. 
 #alphaGalSyndrome   #billGatesRumor   #cdc   #factCheck   #feed   #healthMisinformation   #loneStarTick   #meatAllergy   #medicine   #news   #one   #publicHealth   #redMeatAllergy   #tickBites   #un";0
# Factcheck https:// interactive.carbonbrief.org/fa ctcheck/heatpumps/index.html;
Is the United States a Terrorist State? https:// factually.co/fact-checks/polit ics/is-the-us-a-terrorist-state-question-explained-ab1d53 # HackerNews   # IsTheUnitedStatesATerroristState   # Terrorism   # Debate   # PoliticalAnalysis   # USPolitics   # FactCheck;0
PIB warns against a fake NMC letter claiming NExT will apply to 2022 MBBS batch. The viral circular is forged and no such announcement has been made.  https:// english.mathrubhumi.com/educat ion/news/fake-nmc-letter-next-exam-pib-fact-check-je5to8b4?utm_source=dlvr.it&utm_medium=mastodon   # MBBS   # NExT   # FactCheck   # PIB;0
"Did you know you can do research using the EDMOeu repository?

At EDMOeu you can find a repository of all the fact-checking articles published by EDMO hubs. 
Check the website:  buff.ly/n2QO5xT 
 #EDMO   #Repository   #FactCheck EDMO – United against disinfor...";1
The federal govt had access to that video within hours of the  # shooting  on Jan 14, the  # Minneapolis  police chief said. Yet prosecutors did not watch the footage, an official said, until nearly 3 weeks after they filed charges against the 2 men. “Bare  # DueDiligence  would have shown that the agents were lying,” Mayor Jacob Frey of Minneapolis said in a recent interview, shortly after he watched the video for the first time. # FactCheck   # TrumpLies   # Trump   # law   # immigration   # DueProcess   # UseOfForce;1
The video contradicts the agent’s claim that 3 assailants had beaten him with a shovel & broom for roughly 3 minutes before he opened fire. Instead, the confrontation depicted in the video lasts about 12 seconds & shows 2 men struggling with the agent. It shows no sustained attack with a shovel.  # FactCheck   # TrumpLies   # Trump   # law   # immigration   # Constitution   # DueProcess   # ExcessiveForce   # UseOfForce   # PoliceBrutality   # CivilRights   # HumanRights   # fascism   # ICE   # CBP   # Sturmabteilung   # WhiteSupremacy;1
That version of events began unraveling when prosecutors dropped felony charges against the injured man, Julio C. Sosa-Celis, & one of his housemates, Alfredo A. Aljorna, who had fled from  # immigration  agents. Yet video footage of the  # shooting , newly obtained by NYT, raises questions about why it took weeks for the government’s case to fall apart. # FactCheck   # TrumpLies   # Trump   # law   # UseOfForce   # PoliceBrutality   # CivilRights   # HumanRights   # fascism   # ICE   # CBP   # Sturmabteilung   # WhiteSupremacy;1
# GiftArticle Newly Obtained Video of  # Minneapolis   # Shooting  Undermines  # ICE  Account Prosecutors did not watch video of the nonfatal shooting until weeks after charging the wounded man, an official said. Almost immediately after an  # immigration  agent shot & wounded a  # Venezuelan   # immigrant  in Minneapolis this winter, the  # Trump  admin cast the injured man as an attempted murderer & the agent as the victim of a brutal beating. # FactCheck   # TrumpLies   # law   # UseOfForce   https://www. nytimes.com/2026/04/06/us/minn esota-ice-shooting-video.html?unlocked_article_code=1.Y1A.OmDN.Fv5buFePrRMO&smid=nytcore-ios-share;1
"FACT CHECK: ‘Sara Sky’ tanker carrying Russian oil to PH not linked to Dutertes 
 https:// fed.brid.gy/r/https://www.rapp ler.com/newsbreak/fact-check/sara-sky-tanker-carry-russian-oil-philippines-not-linked-dutertes/";1
# Energy  companies & analysts broadly expect it to take many months after the conflict ends & the  # StraitOfHormuz  reopens for most wells & energy  # infrastructure  throughout the Persian Gulf to even start operating again. # Trump   # CognitiveDissonance   # unfit   # FactCheck   # TrumpLies   # TrumpsWar   # IranWar   # US   # Iran   # war   # ForeverWars   # WarCrimes   # law   # Congress   # WarPowers   # geopolitics   # NationalSecurity   # MiddleEast   # inflation   # economy   # affordability   # CostOfLiving   # oil   # EnergyCrisis;1
# Trump  repeated that he had already “obliterated”  # Iran , but then a reporter asked if that was indeed true, why was the  # US  still at  # war . Trump deflected by saying: “It’s a big country. They can’t fight back. They have no capability. I mean, they have some missiles left, they have some drones left, but essentially they have no capability.” He called the shooting down of American aircraft last week “a lucky shot.” # CognitiveDissonance   # unfit   # FactCheck   # TrumpLies   # IranWar   # law   # WarPowers;1
# Trump  also cited “pretty good” information to say that 45,000 protesters had been killed in  # Iran . [crazy wrong. Outside number is 7k] He returned to the idea of the Iranian people overthrowing the country’s leadership, one he mentioned even before the  # US  &  # Israel  started the  # war . The people of Iran would “fight back as soon as they know they’re not going to be shot & as soon as they can get weapons,” Trump said. # FactCheck   # TrumpLies   # TrumpsWar   # IranWar   # WarCrimes   # RegimeChange   # law;1
# Trump , taking questions from reporters during the annual  # Easter  Egg Rollevent at the White House, reiterated his threats against  # Iran , saying the  # US  was “obliterating the country” because its leadership would not capitulate. But he also asserted that Americans were dealing with a third wave of leadership that “is not as radicalized.” # FactCheck   # TrumpLies   # TrumpsWar   # IranWar   # WarCrimes   # RegimeChange   # law   # Congress   # WarPowers   # MiddleEast   # economy   # EnergyCrisis   https://www. nytimes.com/live/2026/04/06/wo rld/iran-war-trump-israel/9af67b73-f91e-531e-bdaf-e94b4550d3d2?smid=url-share;1
In case anyone is interested in fact checking the presidential bullshit.  > FactChecking Trump’s Prime-Time Address on Iran  https://www. factcheck.org/2026/04/factchec king-trumps-prime-time-address-on-iran/ # FYI   # PSA   # FactCheck   # PendejoInChief   # GOP   # PartyOfStupid   # CacaDeToro  🐮 💩   # warfare   # Iran   # GunboatDiplomacy;1
@ mjdxp  This is perhaps a bit of problem to post if not true. Can we please get some clarification about  # LibreOffice  which is the main reason people are OK with using  # linux  and rumours of its demise might not be fair and disproportionately destructive.  # FactCheck;1
